"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"154","varlango","src/varlango/CORPORATE_GIFT_CARD.java","1","3","ClassNamingConventions: The class name 'CORPORATE_GIFT_CARD' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"155","varlango","src/varlango/CORPORATE_GIFT_CARD.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"156","varlango","src/varlango/CORPORATE_GIFT_CARD.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"157","varlango","src/varlango/GIFT_CARD.java","3","3","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"158","varlango","src/varlango/GIFT_CARD.java","3","3","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"159","varlango","src/varlango/GIFT_CARD.java","1","3","ClassNamingConventions: The class name 'GIFT_CARD' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"160","varlango","src/varlango/GIFT_CARD.java","1","3","ClassNamingConventions: The class name 'GIFT_CARD' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"161","varlango","src/varlango/GIFT_CARD.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"162","varlango","src/varlango/GIFT_CARD.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"163","varlango","src/varlango/HOTELS.java","3","3","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"164","varlango","src/varlango/HOTELS.java","3","3","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"165","varlango","src/varlango/HOTELS.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"166","varlango","src/varlango/HOTELS.java","3","3","CommentRequired: Class comments are required","Documentation","CommentRequired"
"167","varlango","src/varlango/URL.java","3","11","CommentRequired: Class comments are required","Documentation","CommentRequired"
"168","varlango","src/varlango/URL.java","3","11","CommentRequired: Class comments are required","Documentation","CommentRequired"
"169","varlango","src/varlango/URL.java","4","11","ShortClassName: Avoid short class names like URL","Code Style","ShortClassName"
"170","varlango","src/varlango/URL.java","4","11","ShortClassName: Avoid short class names like URL","Code Style","ShortClassName"
"171","varlango","src/varlango/URL.java","3","11","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"172","varlango","src/varlango/URL.java","3","11","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"173","varlango","src/varlango/URL.java","3","13","CommentRequired: Field comments are required","Documentation","CommentRequired"
"174","varlango","src/varlango/URL.java","3","13","CommentRequired: Field comments are required","Documentation","CommentRequired"
"175","varlango","src/varlango/URL.java","1","13","FieldNamingConventions: The static field name 'Currtitle' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"176","varlango","src/varlango/URL.java","1","13","FieldNamingConventions: The static field name 'Currtitle' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"177","varlango","src/varlango/URL.java","3","13","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"178","varlango","src/varlango/URL.java","3","13","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"179","varlango","src/varlango/URL.java","1","13","VariableNamingConventions: Variables should start with a lowercase character, 'Currtitle' starts with uppercase character.","Code Style","VariableNamingConventions"
"180","varlango","src/varlango/URL.java","1","13","VariableNamingConventions: Variables should start with a lowercase character, 'Currtitle' starts with uppercase character.","Code Style","VariableNamingConventions"
"181","varlango","src/varlango/URL.java","3","14","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the driver field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"182","varlango","src/varlango/URL.java","3","14","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the driver field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"183","varlango","src/varlango/URL.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"184","varlango","src/varlango/URL.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"185","varlango","src/varlango/URL.java","3","14","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"186","varlango","src/varlango/URL.java","3","14","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"187","varlango","src/varlango/URL.java","3","14","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"188","varlango","src/varlango/URL.java","3","14","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"189","varlango","src/varlango/URL.java","3","15","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the popup field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"190","varlango","src/varlango/URL.java","3","15","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the popup field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"191","varlango","src/varlango/URL.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"192","varlango","src/varlango/URL.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"193","varlango","src/varlango/URL.java","3","15","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"194","varlango","src/varlango/URL.java","3","15","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"195","varlango","src/varlango/URL.java","1","15","FieldNamingConventions: The static field name 'Menu' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"196","varlango","src/varlango/URL.java","1","15","FieldNamingConventions: The static field name 'Menu' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"197","varlango","src/varlango/URL.java","3","15","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"198","varlango","src/varlango/URL.java","3","15","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"199","varlango","src/varlango/URL.java","1","15","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"200","varlango","src/varlango/URL.java","1","15","OneDeclarationPerLine: Use one line for each declaration, it enhances code readability.","Code Style","OneDeclarationPerLine"
"201","varlango","src/varlango/URL.java","1","15","VariableNamingConventions: Variables should start with a lowercase character, 'Menu' starts with uppercase character.","Code Style","VariableNamingConventions"
"202","varlango","src/varlango/URL.java","1","15","VariableNamingConventions: Variables should start with a lowercase character, 'Menu' starts with uppercase character.","Code Style","VariableNamingConventions"
"203","varlango","src/varlango/URL.java","3","16","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the Homepage_UI field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"204","varlango","src/varlango/URL.java","3","16","CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the Homepage_UI field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"205","varlango","src/varlango/URL.java","3","16","CommentRequired: Field comments are required","Documentation","CommentRequired"
"206","varlango","src/varlango/URL.java","3","16","CommentRequired: Field comments are required","Documentation","CommentRequired"
"207","varlango","src/varlango/URL.java","3","16","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"208","varlango","src/varlango/URL.java","3","16","DefaultPackage: Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"209","varlango","src/varlango/URL.java","1","16","FieldNamingConventions: The static field name 'Homepage_UI' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"210","varlango","src/varlango/URL.java","1","16","FieldNamingConventions: The static field name 'Homepage_UI' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"211","varlango","src/varlango/URL.java","3","16","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"212","varlango","src/varlango/URL.java","3","16","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"213","varlango","src/varlango/URL.java","1","16","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Homepage_UI' is not final.","Code Style","VariableNamingConventions"
"214","varlango","src/varlango/URL.java","1","16","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Homepage_UI' is not final.","Code Style","VariableNamingConventions"
"215","varlango","src/varlango/URL.java","1","16","VariableNamingConventions: Variables should start with a lowercase character, 'Homepage_UI' starts with uppercase character.","Code Style","VariableNamingConventions"
"216","varlango","src/varlango/URL.java","1","16","VariableNamingConventions: Variables should start with a lowercase character, 'Homepage_UI' starts with uppercase character.","Code Style","VariableNamingConventions"
"217","varlango","src/varlango/URL.java","3","18","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"218","varlango","src/varlango/URL.java","3","18","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"219","varlango","src/varlango/URL.java","3","18","MethodArgumentCouldBeFinal: Parameter 'driver' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"220","varlango","src/varlango/URL.java","3","18","MethodArgumentCouldBeFinal: Parameter 'driver' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"221","varlango","src/varlango/URL.java","3","19","AssignmentToNonFinalStatic: Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"222","varlango","src/varlango/URL.java","3","19","AssignmentToNonFinalStatic: Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"223","varlango","src/varlango/URL.java","3","22","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"224","varlango","src/varlango/URL.java","3","22","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"225","varlango","src/varlango/URL.java","1","22","MethodNamingConventions: The static method name 'MMT_TS01_TC001_URL' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"226","varlango","src/varlango/URL.java","1","22","MethodNamingConventions: The static method name 'MMT_TS01_TC001_URL' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"227","varlango","src/varlango/URL.java","3","27","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"228","varlango","src/varlango/URL.java","3","27","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"229","varlango","src/varlango/URL.java","1","27","MethodNamingConventions: The static method name 'MMT_TS02_TC001_HomePage' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"230","varlango","src/varlango/URL.java","1","27","MethodNamingConventions: The static method name 'MMT_TS02_TC001_HomePage' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"231","varlango","src/varlango/URL.java","2","33","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"232","varlango","src/varlango/URL.java","2","33","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"233","varlango","src/varlango/URL.java","2","34","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"234","varlango","src/varlango/URL.java","2","34","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"235","varlango","src/varlango/URL.java","3","37","LocalVariableCouldBeFinal: Local variable 'myBiz' could be declared final","Code Style","LocalVariableCouldBeFinal"
"236","varlango","src/varlango/URL.java","3","37","LocalVariableCouldBeFinal: Local variable 'myBiz' could be declared final","Code Style","LocalVariableCouldBeFinal"
"237","varlango","src/varlango/URL.java","3","38","LocalVariableCouldBeFinal: Local variable 'MyTrips' could be declared final","Code Style","LocalVariableCouldBeFinal"
"238","varlango","src/varlango/URL.java","3","38","LocalVariableCouldBeFinal: Local variable 'MyTrips' could be declared final","Code Style","LocalVariableCouldBeFinal"
"239","varlango","src/varlango/URL.java","1","38","LocalVariableNamingConventions: The local variable name 'MyTrips' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"240","varlango","src/varlango/URL.java","1","38","LocalVariableNamingConventions: The local variable name 'MyTrips' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"241","varlango","src/varlango/URL.java","1","38","VariableNamingConventions: Variables should start with a lowercase character, 'MyTrips' starts with uppercase character.","Code Style","VariableNamingConventions"
"242","varlango","src/varlango/URL.java","1","38","VariableNamingConventions: Variables should start with a lowercase character, 'MyTrips' starts with uppercase character.","Code Style","VariableNamingConventions"
"243","varlango","src/varlango/URL.java","3","39","LocalVariableCouldBeFinal: Local variable 'Login_Create' could be declared final","Code Style","LocalVariableCouldBeFinal"
"244","varlango","src/varlango/URL.java","3","39","LocalVariableCouldBeFinal: Local variable 'Login_Create' could be declared final","Code Style","LocalVariableCouldBeFinal"
"245","varlango","src/varlango/URL.java","1","39","LocalVariableNamingConventions: The local variable name 'Login_Create' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"246","varlango","src/varlango/URL.java","1","39","LocalVariableNamingConventions: The local variable name 'Login_Create' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"247","varlango","src/varlango/URL.java","1","39","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Login_Create' is not final.","Code Style","VariableNamingConventions"
"248","varlango","src/varlango/URL.java","1","39","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Login_Create' is not final.","Code Style","VariableNamingConventions"
"249","varlango","src/varlango/URL.java","1","39","VariableNamingConventions: Variables should start with a lowercase character, 'Login_Create' starts with uppercase character.","Code Style","VariableNamingConventions"
"250","varlango","src/varlango/URL.java","1","39","VariableNamingConventions: Variables should start with a lowercase character, 'Login_Create' starts with uppercase character.","Code Style","VariableNamingConventions"
"251","varlango","src/varlango/URL.java","3","40","LocalVariableCouldBeFinal: Local variable 'Flights_panel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"252","varlango","src/varlango/URL.java","3","40","LocalVariableCouldBeFinal: Local variable 'Flights_panel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"253","varlango","src/varlango/URL.java","1","40","LocalVariableNamingConventions: The local variable name 'Flights_panel' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"254","varlango","src/varlango/URL.java","1","40","LocalVariableNamingConventions: The local variable name 'Flights_panel' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"255","varlango","src/varlango/URL.java","1","40","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Flights_panel' is not final.","Code Style","VariableNamingConventions"
"256","varlango","src/varlango/URL.java","1","40","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Flights_panel' is not final.","Code Style","VariableNamingConventions"
"257","varlango","src/varlango/URL.java","1","40","VariableNamingConventions: Variables should start with a lowercase character, 'Flights_panel' starts with uppercase character.","Code Style","VariableNamingConventions"
"258","varlango","src/varlango/URL.java","1","40","VariableNamingConventions: Variables should start with a lowercase character, 'Flights_panel' starts with uppercase character.","Code Style","VariableNamingConventions"
"259","varlango","src/varlango/URL.java","3","41","LocalVariableCouldBeFinal: Local variable 'IN_ENG_INR' could be declared final","Code Style","LocalVariableCouldBeFinal"
"260","varlango","src/varlango/URL.java","3","41","LocalVariableCouldBeFinal: Local variable 'IN_ENG_INR' could be declared final","Code Style","LocalVariableCouldBeFinal"
"261","varlango","src/varlango/URL.java","1","41","LocalVariableNamingConventions: The local variable name 'IN_ENG_INR' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"262","varlango","src/varlango/URL.java","1","41","LocalVariableNamingConventions: The local variable name 'IN_ENG_INR' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"263","varlango","src/varlango/URL.java","1","41","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'IN_ENG_INR' is not final.","Code Style","VariableNamingConventions"
"264","varlango","src/varlango/URL.java","1","41","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'IN_ENG_INR' is not final.","Code Style","VariableNamingConventions"
"265","varlango","src/varlango/URL.java","1","41","VariableNamingConventions: Variables should start with a lowercase character, 'IN_ENG_INR' starts with uppercase character.","Code Style","VariableNamingConventions"
"266","varlango","src/varlango/URL.java","1","41","VariableNamingConventions: Variables should start with a lowercase character, 'IN_ENG_INR' starts with uppercase character.","Code Style","VariableNamingConventions"
"267","varlango","src/varlango/URL.java","3","42","LocalVariableCouldBeFinal: Local variable 'SEARCH' could be declared final","Code Style","LocalVariableCouldBeFinal"
"268","varlango","src/varlango/URL.java","3","42","LocalVariableCouldBeFinal: Local variable 'SEARCH' could be declared final","Code Style","LocalVariableCouldBeFinal"
"269","varlango","src/varlango/URL.java","1","42","LocalVariableNamingConventions: The local variable name 'SEARCH' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"270","varlango","src/varlango/URL.java","1","42","LocalVariableNamingConventions: The local variable name 'SEARCH' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"271","varlango","src/varlango/URL.java","1","42","VariableNamingConventions: Variables should start with a lowercase character, 'SEARCH' starts with uppercase character.","Code Style","VariableNamingConventions"
"272","varlango","src/varlango/URL.java","1","42","VariableNamingConventions: Variables should start with a lowercase character, 'SEARCH' starts with uppercase character.","Code Style","VariableNamingConventions"
"273","varlango","src/varlango/URL.java","3","43","LocalVariableCouldBeFinal: Local variable 'Explore_More' could be declared final","Code Style","LocalVariableCouldBeFinal"
"274","varlango","src/varlango/URL.java","3","43","LocalVariableCouldBeFinal: Local variable 'Explore_More' could be declared final","Code Style","LocalVariableCouldBeFinal"
"275","varlango","src/varlango/URL.java","1","43","LocalVariableNamingConventions: The local variable name 'Explore_More' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"276","varlango","src/varlango/URL.java","1","43","LocalVariableNamingConventions: The local variable name 'Explore_More' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"277","varlango","src/varlango/URL.java","1","43","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Explore_More' is not final.","Code Style","VariableNamingConventions"
"278","varlango","src/varlango/URL.java","1","43","VariableNamingConventions: Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'Explore_More' is not final.","Code Style","VariableNamingConventions"
"279","varlango","src/varlango/URL.java","1","43","VariableNamingConventions: Variables should start with a lowercase character, 'Explore_More' starts with uppercase character.","Code Style","VariableNamingConventions"
"280","varlango","src/varlango/URL.java","1","43","VariableNamingConventions: Variables should start with a lowercase character, 'Explore_More' starts with uppercase character.","Code Style","VariableNamingConventions"
"281","varlango","src/varlango/URL.java","3","46","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"282","varlango","src/varlango/URL.java","3","46","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"283","varlango","src/varlango/URL.java","3","47","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"284","varlango","src/varlango/URL.java","3","47","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"285","varlango","src/varlango/URL.java","3","48","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"286","varlango","src/varlango/URL.java","3","48","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"287","varlango","src/varlango/URL.java","3","49","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"288","varlango","src/varlango/URL.java","3","49","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"289","varlango","src/varlango/URL.java","3","50","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"290","varlango","src/varlango/URL.java","3","50","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"291","varlango","src/varlango/URL.java","3","51","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"292","varlango","src/varlango/URL.java","3","51","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"293","varlango","src/varlango/URL.java","3","52","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"294","varlango","src/varlango/URL.java","3","52","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
